d,w
24,163
24,137
24,102
24,103
24,104
24,35
24,11
24,61
24,250
24,26
24,23
24,22
24,21
24,20
24,19
24,17
24,16
24,14
24,24
24,45
24,51
24,46
25,25
25,98
25,18
25,21
25,20
25,19
25,17
25,22
25,55
25,49
25,38
25,45
25,46
25,117
25,50
25,52
25,53
25,33
25,173
25,171
25,166
25,44
25,284
25,285
25,51
25,286
25,42
25,48
25,63
25,16
26,18
26,123
26,193
26,139
26,51
26,46
26,45
26,44
26,159
26,55
26,22
26,21
26,19
26,261
26,16
26,264
26,271
26,194
26,25
26,263
26,262
27,24
27,26
27,22
27,21
27,19
27,114
27,199
27,42
27,159
27,147
27,45
27,47
27,51
27,98
27,25
28,45
28,140
28,12
28,99
28,142
28,109
28,39
28,104
28,103
28,102
28,137
28,68
28,46
28,51
28,48
28,14
28,49
28,50
28,52
28,53
28,27
28,44
28,66
28,16
28,18
28,19
28,20
28,21
28,22
28,23
28,63
28,25
28,26
28,159
28,225
28,17
28,15
28,54
28,24
28,144
28,139
28,209
29,6
29,5
29,4
29,3
29,157
29,160
29,2
30,45
30,41
30,55
30,114
30,98
30,24
30,35
30,20
30,34
30,18
30,16
30,14
30,156
30,154
30,140
30,124
30,46
30,19
30,51
31,55
31,30
31,31
31,32
31,267
31,266
31,281
31,156
31,24
31,34
31,23
31,47
31,19
31,21
31,206
31,276
31,278
31,279
31,33
31,45
31,46
31,51
31,113
31,59
32,32
32,163
32,69
32,20
32,68
32,15
32,14
32,149
32,148
32,129
32,31
32,30
32,137
32,294
32,171
32,173
32,156
32,16
32,18
32,21
32,23
32,24
32,25
32,34
32,26
32,170
32,165
32,164
32,195
32,125
32,265
32,136
32,225
32,118
32,27
32,172
32,166
32,22
32,151
32,102
32,103
32,104
32,203
32,70
32,209
32,167
32,109
32,71
32,19
32,152
32,142
32,46
32,49
32,48
32,50
32,53
32,52
32,45
32,51
33,143
33,154
33,108
33,125
33,16
33,172
33,45
33,67
33,170
33,153
33,164
33,22
33,21
33,46
33,20
33,134
33,101
33,30
33,31
33,32
33,34
33,169
33,117
33,18
33,48
33,49
33,50
33,52
33,53
33,51
33,19
34,164
34,69
34,23
34,25
34,134
34,101
34,153
34,172
34,170
34,169
34,22
34,125
34,99
34,108
34,33
34,140
34,21
34,143
34,18
34,17
34,16
34,15
34,5
34,146
34,4
34,59
34,51
34,117
34,45
34,109
34,35
34,104
34,103
34,102
34,160
34,157
34,154
34,19
34,46
34,206
35,52
35,48
35,49
35,50
35,25
35,53
35,66
35,156
35,59
35,16
35,18
35,22
35,19
35,63
35,44
36,125
36,277
36,120
36,33
36,34
36,276
36,118
36,16
36,17
36,281
36,101
36,22
36,294
36,265
36,21
36,44
36,136
36,134
36,138
36,32
36,31
36,30
36,141
37,8
37,176
37,96
37,95
37,97
37,7
37,11
37,3
37,160
37,45
37,46
37,51
37,4
37,1
37,157
37,230
37,10
37,175
37,2
37,6
37,15
37,68
37,18
37,19
37,180
37,98
37,102
37,103
37,104
37,35
37,146
37,109
37,55
37,5
38,5
38,6
38,103
38,102
38,55
38,98
38,20
38,19
38,104
38,18
38,15
38,14
38,2
38,149
38,148
38,129
38,68
38,35
38,109
38,152
38,4
38,3
38,1
38,157
38,146
38,181
38,179
38,160
38,51
38,230
38,180
38,175
38,117
38,46
38,45
39,220
39,34
39,212
39,129
39,148
39,149
39,152
39,164
39,153
39,33
39,170
39,143
39,154
39,172
39,169
39,109
39,71
39,144
39,48
39,49
39,50
39,52
39,53
39,211
39,104
40,44
40,16
40,50
40,49
40,18
40,34
40,69
40,19
40,48
40,167
40,53
40,52
41,288
41,133
41,34
41,42
41,22
41,20
41,14
41,126
41,127
41,33
41,131
41,132
41,256
41,35
41,45
41,114
41,51
41,117
41,46
41,98
42,44
42,42
42,124
42,55
42,98
42,22
42,20
42,15
43,70
43,18
43,19
43,21
43,22
43,102
43,137
43,16
43,103
43,25
43,68
43,45
43,51
43,46
43,104
43,58
43,156
43,54
43,50
43,52
43,53
43,63
43,15
43,248
43,249
43,24
43,38
43,185
43,26
43,8
43,174
43,10
43,11
43,117
43,35
43,184
43,30
43,32
43,34
43,41
43,44
43,49
43,250
43,74
43,109
43,31
43,183
44,149
44,238
44,85
44,83
44,86
44,72
44,14
44,53
44,82
44,15
44,68
44,20
44,93
44,80
44,81
44,143
44,48
44,49
44,225
44,51
44,46
44,45
44,44
44,25
44,98
44,66
44,23
44,21
44,19
44,18
44,17
44,16
44,63
44,62
44,97
44,182
44,95
44,94
44,92
44,90
44,22
44,74
44,67
44,164
44,69
44,87
44,88
44,91
44,96
44,210
44,64
44,55
44,137
44,102
44,103
44,104
44,33
44,70
44,35
44,39
44,109
44,71
44,142
44,172
44,152
44,99
44,144
44,139
44,153
44,169
44,194
44,65
44,215
44,84
44,78
44,52
44,148
44,129
44,237
44,50
45,95
45,44
45,49
45,128
45,50
45,52
45,14
45,35
45,15
45,16
45,17
45,18
45,41
45,13
45,86
45,19
45,122
45,71
45,64
45,96
45,93
45,78
45,92
45,45
45,76
45,73
45,72
45,234
45,215
45,84
45,77
45,80
45,81
45,55
45,20
45,21
45,22
45,98
45,207
45,34
45,38
45,70
45,293
45,75
45,42
45,208
45,120
45,25
45,292
46,23
46,69
46,55
46,101
46,113
46,100
46,22
46,98
46,21
46,129
46,19
46,18
46,17
46,16
46,14
46,149
46,95
46,20
46,90
46,24
46,241
46,64
46,210
46,51
46,215
46,45
46,122
46,65
46,152
46,110
46,108
46,34
46,32
46,31
46,30
46,42
46,35
46,46
46,82
46,240
46,80
46,11
46,10
46,8
46,7
46,111
46,107
46,89
46,93
46,83
46,105
46,85
46,87
46,88
46,25
46,91
47,34
47,42
47,30
47,33
47,44
47,186
47,132
47,20
47,98
47,114
47,32
47,14
48,30
48,205
48,211
48,212
48,207
48,218
48,219
48,34
48,32
48,70
48,292
48,293
48,220
48,204
48,42
48,208
48,38
48,49
48,31
48,26
48,50
48,52
48,79
48,44
48,14
48,15
48,114
48,16
48,18
48,19
48,20
48,22
48,98
48,25
48,17
48,202
49,34
49,42
49,38
49,184
49,183
49,44
49,55
49,98
49,22
49,21
49,185
49,19
49,206
49,30
49,31
49,32
49,18
50,35
50,22
50,45
50,21
50,58
50,18
50,46
50,26
50,8
50,19
50,174
50,10
50,11
50,49
50,50
50,52
50,51
50,25
50,12
50,27
50,16
50,20
50,42
50,33
50,55
50,53
51,131
