d,w
115,97
115,45
115,46
115,51
115,63
115,49
115,50
115,52
115,53
115,15
115,16
115,17
115,18
115,19
115,21
115,22
115,23
115,24
115,84
115,55
115,80
115,96
115,194
115,100
115,42
115,48
115,142
115,255
115,205
115,210
115,64
115,73
115,287
115,76
115,77
115,79
115,71
116,46
116,51
116,34
116,207
116,18
116,69
116,22
116,19
116,17
116,55
116,70
116,171
116,173
116,166
116,45
116,38
116,15
116,75
116,16
117,42
117,33
117,62
117,55
117,98
117,14
117,20
117,30
117,100
117,12
117,23
117,32
117,34
118,71
118,79
118,44
118,160
118,1
118,12
118,2
118,157
118,14
118,16
118,17
118,20
118,21
118,98
118,25
118,26
118,55
118,118
118,136
118,4
118,146
118,42
118,5
118,52
118,50
118,18
118,49
118,66
118,22
118,19
119,146
119,104
119,252
119,129
119,103
119,102
119,4
119,19
119,5
119,35
119,1
119,3
119,6
119,55
119,2
119,15
119,68
119,18
119,229
119,98
119,160
119,157
119,51
119,46
119,45
119,109
119,116
120,51
120,17
120,18
120,19
120,21
120,22
120,55
120,45
120,44
120,16
120,46
120,117
120,284
120,285
120,42
120,63
120,25
120,52
120,286
120,48
120,53
120,79
120,164
120,183
120,49
120,170
120,50
120,205
120,172
120,38
121,55
121,54
121,245
121,41
121,34
121,150
121,123
121,27
121,58
121,51
121,208
121,38
121,25
121,26
121,18
121,19
121,21
121,22
121,69
121,24
121,207
121,16
122,32
122,34
122,33
122,26
122,163
122,23
122,14
122,149
122,238
122,237
122,148
122,129
122,152
122,30
122,134
122,282
122,119
122,24
122,122
122,295
122,296
122,268
122,281
122,269
122,125
122,100
122,16
122,18
122,19
122,21
122,22
122,101
122,25
122,39
122,69
122,280
122,224
122,99
122,108
122,121
122,120
122,147
123,18
123,121
123,159
123,147
123,281
123,33
123,45
123,46
123,51
123,14
123,20
123,98
123,55
123,122
123,54
123,139
123,16
123,19
123,21
123,22
123,69
123,23
123,24
123,25
123,276
123,193
123,34
123,271
123,114
123,119
123,120
123,194
123,263
123,262
123,261
123,178
123,206
124,34
124,46
124,20
124,53
124,52
124,50
124,49
124,144
124,109
124,33
124,51
124,104
124,102
124,153
124,70
124,124
124,127
124,207
124,126
124,192
124,103
124,54
124,217
124,16
124,45
124,125
124,44
124,42
124,41
124,136
124,150
124,58
124,27
124,55
124,26
124,25
124,98
124,24
124,23
124,22
124,21
124,19
124,18
124,134
125,42
125,55
125,98
125,24
125,21
125,33
125,14
125,127
125,195
125,34
125,19
125,18
125,20
125,126
125,35
125,45
125,207
125,23
125,51
125,117
125,46
126,160
126,35
126,109
126,194
126,180
126,230
126,45
126,46
126,2
126,139
126,3
126,4
126,157
126,175
126,6
126,51
126,104
126,103
126,102
126,129
126,149
126,14
126,1
126,151
126,152
126,5
126,68
126,18
126,19
126,20
126,98
126,55
126,15
127,45
127,54
127,51
127,46
127,44
127,100
127,20
127,35
127,14
127,16
127,17
127,18
127,21
127,24
127,55
127,217
127,30
127,98
127,32
127,34
127,33
127,31
127,26
127,150
127,22
127,19
127,41
127,25
128,129
128,252
128,5
128,157
128,160
128,2
128,3
128,6
128,4
129,46
129,25
129,30
129,31
129,32
129,54
129,44
129,73
129,51
129,21
129,19
129,18
129,17
129,16
129,97
129,95
129,76
129,65
129,64
129,96
129,89
129,41
129,45
129,34
129,24
130,14
130,144
130,45
130,46
130,51
130,100
130,48
130,49
130,50
130,53
130,255
130,52
130,79
130,139
130,194
130,15
130,68
130,22
130,23
130,24
130,39
130,17
130,18
130,19
130,21
130,25
130,26
130,27
130,99
130,119
130,142
130,209
130,129
130,148
130,237
130,238
130,149
130,69
130,163
130,98
130,134
130,55
130,118
130,114
130,101
130,202
130,33
130,108
130,71
130,245
130,152
130,126
130,127
130,137
130,102
130,103
130,104
130,34
130,70
130,109
130,120
130,16
130,138
130,125
130,121
131,70
131,35
131,167
131,109
131,71
131,142
131,170
131,172
131,45
131,46
131,49
131,50
131,51
131,12
131,10
131,61
131,48
131,255
131,34
131,164
131,203
131,104
131,100
131,14
131,15
131,68
131,18
131,19
131,20
131,21
131,22
131,69
131,163
131,25
131,26
131,30
131,31
131,32
131,137
131,102
131,103
131,52
131,53
131,11
132,82
132,239
132,125
132,277
132,122
132,281
132,49
132,50
132,52
132,129
132,21
132,24
132,98
132,55
132,109
132,76
132,93
132,167
132,210
132,64
132,65
132,100
132,80
132,240
132,215
132,90
132,95
132,97
132,54
132,152
132,35
132,77
132,33
132,149
132,14
132,18
132,20
132,238
132,237
132,51
132,148
132,89
132,88
132,87
132,85
132,34
132,83
132,91
132,47
132,19
132,45
132,202
132,103
132,46
132,32
132,31
132,30
132,79
132,102
132,241
133,46
133,47
133,51
133,200
133,151
133,16
133,18
133,19
133,25
133,212
133,34
133,26
133,55
133,178
133,30
133,32
133,211
133,45
133,162
133,220
133,31
133,35
133,20
133,69
133,17
133,21
133,22
133,24
133,98
133,114
133,33
133,42
133,163
133,14
134,131
134,42
134,33
134,132
134,14
134,69
134,21
134,17
134,24
134,51
134,46
134,16
134,15
134,255
134,100
134,156
134,63
134,53
134,52
134,50
134,49
134,114
134,48
134,125
134,108
134,34
134,133
134,205
134,55
134,101
134,79
134,98
134,23
134,22
134,20
134,19
134,18
134,134
134,45
135,55
135,18
135,17
135,21
135,59
135,206
135,44
135,16
135,19
135,69
135,23
136,20
136,12
136,42
136,121
136,120
136,119
136,55
136,98
136,24
136,21
136,17
136,16
136,53
136,50
136,49
136,48
136,172
136,154
136,143
136,170
136,169
136,153
136,165
136,164
136,52
137,34
137,33
137,199
137,21
137,19
137,35
137,120
137,41
137,32
137,22
137,30
137,31
138,21
138,50
138,52
138,98
138,49
138,25
138,272
138,127
138,48
138,14
138,15
138,16
138,17
138,18
138,19
138,20
138,34
138,53
138,22
138,23
139,35
139,156
139,145
139,62
139,63
139,66
139,16
139,18
139,19
139,45
139,46
139,51
139,59
139,74
139,44
139,21
140,150
140,186
140,22
140,69
140,132
140,27
140,25
140,20
140,21
140,26
140,98
140,114
140,33
140,42
140,24
140,18
140,16
140,14
140,54
140,34
140,161
140,41
140,44
140,19
141,51
141,225
141,16
141,206
141,15
141,26
141,44
141,22
141,138
141,45
141,281
141,122
141,108
141,163
141,101
141,28
141,114
141,27
141,46
141,172
141,140
141,98
141,125
141,134
141,25
141,24
141,23
141,19
141,154
141,18
141,17
141,21
141,143
141,38
141,14
141,68
141,20
141,39
141,47
141,164
141,69
141,169
141,170
141,42
141,55
142,14
142,51
142,46
142,45
142,172
142,109
142,139
142,170
142,13
142,48
142,15
142,68
142,20
142,163
142,195
142,137
142,102
142,103
142,104
142,164
142,194
142,209
142,22
142,34
142,53
142,52
142,24
142,16
142,18
142,19
142,21
142,188
142,55
142,25
142,50
142,49
142,145
143,15
143,6
143,180
143,14
143,68
143,35
143,19
143,20
143,98
143,55
143,102
143,103
143,104
143,18
143,45
143,146
143,117
143,5
143,109
143,46
143,2
143,3
143,4
143,157
143,160
143,51
143,1
143,273
144,204
144,70
144,49
144,128
144,205
144,50
144,52
144,79
144,18
144,30
144,31
144,32
144,259
144,34
144,3
144,21
144,157
144,214
144,265
144,6
144,4
144,146
144,5
144,100
144,213
144,19
145,259
145,34
145,11
145,10
145,31
145,45
145,46
145,49
145,50
145,51
145,52
145,53
145,174
145,18
145,21
145,22
145,44
145,213
145,23
145,24
145,25
145,26
145,30
145,19
145,8
145,32
146,19
146,122
146,270
146,14
146,22
146,208
146,104
146,218
146,42
146,38
146,34
146,207
146,32
146,31
146,30
146,55
146,98
146,69
146,219
146,70
146,18
146,71
146,75
146,15
146,16
146,17
146,144
146,21
147,70
147,35
147,169
147,60
147,170
147,10
147,172
147,154
147,143
147,49
147,153
147,50
147,52
147,53
147,63
147,61
147,48
147,30
147,46
147,25
147,21
147,19
147,18
147,16
147,129
147,149
147,15
147,68
147,17
147,22
147,51
147,69
147,109
147,71
147,44
147,152
147,144
147,164
147,142
147,31
147,32
147,34
147,45
147,104
147,11
148,205
148,53
148,63
148,79
148,255
148,143
148,21
148,22
148,25
148,19
148,44
148,16
148,18
148,48
148,49
148,50
148,52
148,27
149,151
149,42
149,55
149,98
149,22
149,21
149,19
149,200
149,18
150,146
150,223
150,273
150,15
150,68
150,18
150,20
150,55
150,118
150,137
150,102
150,104
150,35
150,4
150,109
150,157
150,158
150,175
150,5
150,6
150,1
150,46
150,45
150,2
150,194
150,139
150,51
151,5
151,15
151,100
151,6
151,42
151,149
151,3
151,30
151,4
151,68
151,102
151,103
151,104
151,35
151,175
151,2
151,152
151,34
151,160
151,45
151,46
151,51
151,157
151,109
151,161
151,32
151,132
151,129
151,148
151,16
151,17
151,18
151,19
151,186
151,21
151,14
151,20
151,23
151,24
151,98
151,55
151,1
151,22
152,71
152,55
152,104
152,75
152,44
152,144
152,15
152,16
152,17
152,18
152,19
152,22
152,23
152,163
152,24
152,98
152,25
152,70
152,21
152,63
153,20
153,163
153,51
153,50
153,49
153,46
153,45
153,191
153,142
153,53
153,109
153,70
153,104
153,68
153,18
153,19
153,103
153,102
153,137
153,35
153,139
153,52
153,100
153,255
153,24
153,25
153,194
153,188
153,22
153,27
153,48
153,15
153,14
153,13
154,79
154,20
154,23
154,28
154,52
154,45
154,63
154,62
154,18
154,17
154,16
154,14
154,46
154,19
154,21
154,22
154,51
154,285
154,284
154,286
154,48
154,53
154,117
154,26
154,44
154,49
154,25
154,50
155,44
155,55
155,20
155,98
155,114
155,12
155,16
155,18
155,19
155,21
155,22
155,14
155,23
155,49
155,50
155,24
155,25
155,52
155,79
156,44
156,16
156,18
156,19
156,21
156,22
156,25
156,26
156,246
156,34
156,12
156,58
156,24
157,149
157,16
157,148
157,79
157,129
157,255
157,30
157,205
157,171
157,163
157,69
157,22
157,21
157,18
157,68
157,15
157,194
157,53
157,51
157,50
157,49
157,48
157,46
157,45
157,25
157,20
157,52
157,19
157,139
157,61
157,31
157,32
157,137
157,102
157,103
157,104
157,203
157,34
157,166
157,70
157,167
157,109
157,71
157,142
157,152
157,10
157,11
157,60
157,35
157,26
157,14
157,173
158,38
158,102
158,103
158,104
158,139
158,35
158,109
158,194
158,99
158,45
158,46
158,117
158,51
158,12
158,16
158,17
158,18
158,19
158,21
158,22
158,25
158,26
158,34
158,44
158,24
158,137
158,55
158,98
158,23
158,69
158,20
158,68
158,15
159,264
159,18
159,16
159,14
159,53
159,52
159,50
159,49
159,51
159,46
159,45
159,194
159,263
159,261
159,139
159,193
159,19
159,20
160,14
160,20
160,21
160,38
160,19
160,18
160,17
160,16
160,131
160,53
160,52
160,50
160,49
160,48
160,173
160,171
160,166
160,153
160,127
160,22
160,69
160,98
160,55
160,58
160,54
160,132
160,125
160,42
160,41
160,34
160,33
160,207
160,119
160,31
160,211
160,246
160,32
160,30
160,212
160,126
161,20
161,21
161,19
161,42
161,98
161,25
161,26
161,55
161,33
161,14
162,45
162,25
162,51
162,46
162,44
162,41
162,34
162,150
162,55
162,69
162,22
162,19
162,18
162,26
162,16
162,54
162,35
162,253
162,33
162,17
163,82
163,78
163,45
163,77
163,76
163,73
163,72
163,31
163,32
163,30
163,253
163,124
163,114
163,83
163,35
163,85
163,42
163,88
163,206
163,54
163,14
163,18
163,19
163,20
163,294
163,21
163,25
163,98
163,24
163,163
163,69
163,22
163,87
163,34
163,16
163,41
163,170
163,96
163,93
163,216
163,91
163,89
163,66
163,172
163,164
163,81
163,215
163,84
163,86
163,92
163,95
163,80
164,48
164,8
164,42
164,132
164,52
164,10
164,50
164,11
164,53
164,63
164,161
164,186
164,41
164,174
164,34
164,51
164,246
164,156
164,4
164,146
164,44
164,54
164,45
164,46
164,117
164,14
164,16
164,18
164,19
164,20
164,21
164,22
164,24
164,98
164,25
164,114
164,33
164,58
164,49
165,48
165,19
165,20
165,21
165,22
165,69
165,23
165,18
165,98
165,55
165,202
165,203
165,218
165,219
165,49
165,25
165,17
165,26
165,15
165,14
165,63
165,205
165,128
165,62
165,70
165,204
165,16
165,50
165,53
165,52
